QUESTIONS_parent_id,RESPONSES_identifier,RESPONSES_question_id,RESPONSES_respondent_id,RESPONSES_answer_id,RESPONSES_free_response_answer,RESPONSES_zooniverse_choice_answer_data,RESPONSES_image,RESPONSES_code_id,RESPONSES_tags
S002w,12bc9dc0-104d-4550-9b64-023aa8327896,S002w.Q.118,54836b78-18a6-4f3c-8661-ef022d72401a,8550422f-89d5-479f-80de-03c5af2f1b10,,"{""S002w.Q.118"":""8550422f-89d5-479f-80de-03c5af2f1b10""}",12bc9dc0-104d-4550-9b64-023aa8327896.jpg,null,null
S002w,02859b17-f434-4b6c-b219-45076bd3df55,S002w.Q.118,54836b78-18a6-4f3c-8661-ef022d72401b,8550422f-89d5-479f-80de-03c5af2f1b10,,"{""S002w.Q.118"":""8550422f-89d5-479f-80de-03c5af2f1b10""}",02859b17-f434-4b6c-b219-45076bd3df55.jpg,null,null
S002w,a3e186a0-0eb6-4865-8847-7f7c8f58cf82,S002w.Q.118,54836b78-18a6-4f3c-8661-ef022d72401c,8550422f-89d5-479f-80de-03c5af2f1b10,,"{""S002w.Q.118"":""8550422f-89d5-479f-80de-03c5af2f1b10""}",a3e186a0-0eb6-4865-8847-7f7c8f58cf82.jpg,null,null
S002w,e1818fbc-7976-423e-95e1-d8c760ec0fbc,S002w.Q.118,54836b78-18a6-4f3c-8661-ef022d72401d,8550422f-89d5-479f-80de-03c5af2f1b10,,"{""S002w.Q.118"":""8550422f-89d5-479f-80de-03c5af2f1b10""}",e1818fbc-7976-423e-95e1-d8c760ec0fbc.jpg,null,null
S004w,b74fdcd4-faef-48c5-87cc-11bac78ef39b,S004w.Q.59,54836b78-18a6-4f3c-8661-ef022d72401e,8550422f-89d5-479f-80de-03c5af2f1b11,,"{""S004w.Q.59"":""8550422f-89d5-479f-80de-03c5af2f1b11""}",b74fdcd4-faef-48c5-87cc-11bac78ef39b.jpg,null,null
S004c,1caa2665-7b59-44a1-a78a-33c6e6391eef,S004c.Q.65-66,54836b78-18a6-4f3c-8661-ef022d72401f,8550422f-89d5-479f-80de-03c5af2f1b12,,"{""S004c.Q.65-66"":""8550422f-89d5-479f-80de-03c5af2f1b12""}",1caa2665-7b59-44a1-a78a-33c6e6391eef.jpg,null,null
S132a,6b9776cd-02da-4b9c-a9e8-0f1ecbbeb13b,S132a.Q.51-53,54836b78-18a6-4f3c-8661-ef022d724020,8550422f-89d5-479f-80de-03c5af2f1b13,,"{""S132a.Q.51-53"":""8550422f-89d5-479f-80de-03c5af2f1b13""}",6b9776cd-02da-4b9c-a9e8-0f1ecbbeb13b.jpg,null,null
S132a,4addc539-c11b-465e-ba72-2ed7f0b24286,S132a.Q.51-53,54836b78-18a6-4f3c-8661-ef022d724021,8550422f-89d5-479f-80de-03c5af2f1b13,,"{""S132a.Q.51-53"":""8550422f-89d5-479f-80de-03c5af2f1b13""}",4addc539-c11b-465e-ba72-2ed7f0b24286.jpg,null,null
S132a,09e0f901-66fb-4da5-aba9-564aee8bd426,S132a.Q.51-53,54836b78-18a6-4f3c-8661-ef022d724022,8550422f-89d5-479f-80de-03c5af2f1b13,,"{""S132a.Q.51-53"":""8550422f-89d5-479f-80de-03c5af2f1b13""}",09e0f901-66fb-4da5-aba9-564aee8bd426.jpg,null,null
S132a,78477381-8c1b-4486-9361-59b740152b0b,S132a.Q.51-53,54836b78-18a6-4f3c-8661-ef022d724023,8550422f-89d5-479f-80de-03c5af2f1b13,,"{""S132a.Q.51-53"":""8550422f-89d5-479f-80de-03c5af2f1b13""}",78477381-8c1b-4486-9361-59b740152b0b.jpg,null,null
S132a,baf8546c-5938-4587-b84b-890ff1ae67d1,S132a.Q.51-53,54836b78-18a6-4f3c-8661-ef022d724024,8550422f-89d5-479f-80de-03c5af2f1b13,,"{""S132a.Q.51-53"":""8550422f-89d5-479f-80de-03c5af2f1b13""}",baf8546c-5938-4587-b84b-890ff1ae67d1.jpg,null,null
